CollisionID,CollisionKey,Borough,RoadType,VehicleSequenceNumber,VehicleTypeCode,VehicleTypeDescription,ContributingFactorCode,ContributingFactorDescription,OccurrencePrecinctCode,Collision_ at_Location,Address,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
2024075002376,294453973,brooklyn,I,1.0,SEDN,Passenger vehicle, , ,075,1.0,BARBEY ST&&WORTMAN AVE,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024075002388,294453975,brooklyn,I,1.0,SEDN,Passenger vehicle, , ,075,2.0,FULTON ST&&PENNSYLVANIA AVE,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024075002388,294453975,brooklyn,I,2.0,SEDN,Passenger vehicle,20,Unsafe lane changing                                                            ,075,2.0,FULTON ST&&PENNSYLVANIA AVE,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024075002390,294453977,brooklyn,I,1.0,SEDN,Passenger vehicle, , ,075,1.0,LINDEN BLVD&&PENNSYLVANIA AVE,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024075002390,294453977,brooklyn,I,2.0,SEDN,Passenger vehicle,09,Following too closely                                                           ,075,1.0,LINDEN BLVD&&PENNSYLVANIA AVE,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024075002391,294453978,brooklyn,I,1.0,SEDN,Passenger vehicle, , ,075,1.0,ATKINS AVE&&BELMONT AVE,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024075002391,294453978,brooklyn,I,2.0,SEDN,Passenger vehicle, , ,075,1.0,ATKINS AVE&&BELMONT AVE,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024075002393,294453979,brooklyn,I,1.0,SEDN,Passenger vehicle, , ,075,1.0,FOUNTAIN AVE&&LINDEN BLVD,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024075002393,294453979,brooklyn,I,2.0,SEDN,Passenger vehicle,07,Failure to yield right-of-way                                                   ,075,1.0,FOUNTAIN AVE&&LINDEN BLVD,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024075002394,294453980,brooklyn,I,1.0,PICK,Pick-up truck, , ,075,1.0,CRESCENT ST&&STANLEY AVE,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024075002394,294453980,brooklyn,I,2.0,SUBN,Sport utility / station wagon,07,Failure to yield right-of-way                                                   ,075,1.0,CRESCENT ST&&STANLEY AVE,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024075002397,294453982,brooklyn,I,1.0,SEDN,Passenger vehicle, , ,075,2.0,LINDEN BLVD&&PENNSYLVANIA AVE,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024075002397,294453982,brooklyn,I,2.0,SEDN,Passenger vehicle, , ,075,2.0,LINDEN BLVD&&PENNSYLVANIA AVE,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024075002403,294453986,brooklyn,I,1.0,SEDN,Passenger vehicle,02,Alcohol involvement                                                             ,075,1.0,BLAKE AVE&&GEORGIA AVE,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024075002403,294453986,brooklyn,I,2.0,SEDN,Passenger vehicle, , ,075,1.0,BLAKE AVE&&GEORGIA AVE,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024075002403,294453986,brooklyn,I,3.0,SEDN,Passenger vehicle, , ,075,1.0,BLAKE AVE&&GEORGIA AVE,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024075002404,294453987,brooklyn,I,1.0,LCOM,Large com veh(6 or more tires), , ,075,1.0,GLENMORE AVE&&PENNSYLVANIA AVE,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024075002404,294453987,brooklyn,I,2.0,PICK,Pick-up truck, , ,075,1.0,GLENMORE AVE&&PENNSYLVANIA AVE,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
