,CollisionID,CollisionKey,Borough,RoadType,VehicleSequenceNumber,VehicleTypeCode,VehicleTypeDescription,ContributingFactorCode,ContributingFactorDescription
8515,2024044001136,295887186,bronx,I,1.0,SEDN,Passenger vehicle,14,Pedest/bike/other pedest error                                                  
8516,2024044001136,295887186,bronx,I,2.0,BIKE,Bicycle,14,Pedest/bike/other pedest error                                                  
8517,2024040000990,295892383,bronx,I,1.0,SEDN,Passenger vehicle,05,Driver inexperience                                                             
8518,2024040000990,295892383,bronx,I,2.0,MCY,Motorcycle,05,Driver inexperience                                                             
8519,2024040001036,295892384,bronx,I,1.0,,,07,Failure to yield right-of-way                                                   
8520,2024040001083,295895262,bronx,I,2.0,BIKE,Bicycle,14,Pedest/bike/other pedest error                                                  
8521,2024040001081,295910534,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8522,2024042000723,295910537,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8523,2024042000723,295910537,bronx,I,2.0,SUBN,Sport utility / station wagon, , 
8524,2024043001341,295910541,bronx,I,1.0,SEDN,Passenger vehicle, , 
8525,2024043001341,295910541,bronx,I,2.0,LCOM,Large com veh(6 or more tires),04,Driver inattention/distraction                                                  
8526,2024043001373,295910542,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8527,2024043001391,295910544,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8528,2024043001391,295910544,bronx,I,2.0,SEDN,Passenger vehicle, , 
8529,2024050000759,295910553,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8530,2024050000797,295910554,bronx,I,1.0,SEDN,Passenger vehicle, , 
8531,2024050000797,295910554,bronx,I,2.0,,,09,Following too closely                                                           
8532,2024052001173,295910560,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8533,2024052001174,295910561,bronx,I,1.0,SEDN,Passenger vehicle, , 
8534,2024052001174,295910561,bronx,I,2.0,TAXI,Taxi vehicle, , 
8535,2024052001177,295910563,bronx,I,1.0,SUBN,Sport utility / station wagon,04,Driver inattention/distraction                                                  
8536,2024052001179,295910565,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8537,2024050000833,295920367,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8538,2024050000833,295920367,bronx,I,2.0,SUBN,Sport utility / station wagon,13,Passing or lane usage improper                                                  
8539,2024044001103,295935494,bronx,I,1.0,PICK,Pick-up truck, , 
8540,2024044001103,295935494,bronx,I,2.0,PICK,Pick-up truck,04,Driver inattention/distraction                                                  
8541,2024045001100,295935501,bronx,I,1.0,SEDN,Passenger vehicle, , 
8542,2024045001100,295935501,bronx,I,2.0,SUBN,Sport utility / station wagon, , 
8543,2024045001107,295935502,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8544,2024045001107,295935502,bronx,I,2.0,SUBN,Sport utility / station wagon, , 
8545,2024044001107,295935672,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8546,2024044001107,295935672,bronx,I,2.0,LCOM,Large com veh(6 or more tires),04,Driver inattention/distraction                                                  
8547,2024049000893,295957169,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8548,2024043001323,295964357,bronx,I,1.0,SEDN,Passenger vehicle, , 
8549,2024046000863,295964358,bronx,I,1.0,SEDN,Passenger vehicle,18,Turning improperly                                                              
8550,2024047001205,295970422,bronx,I,1.0,MCY,Motorcycle, , 
8551,2024047001205,295970422,bronx,I,2.0,SEDN,Passenger vehicle,13,Passing or lane usage improper                                                  
8552,2024046000879,295973008,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8553,2024046000879,295973008,bronx,I,2.0,,,04,Driver inattention/distraction                                                  
8554,2024044001139,295980639,bronx,I,1.0,SEDN,Passenger vehicle, , 
8555,2024044001139,295980639,bronx,I,2.0,BUS,Bus, , 
8556,2024045001113,295988009,bronx,I,1.0,SEDN,Passenger vehicle, , 
8557,2024045001113,295988009,bronx,I,2.0,SEDN,Passenger vehicle, , 
